word,weight
bersimbah,-3.0
bersimpati,4.0
bersimpuh,0.0
bersinar,4.0
bersinggungan,-3.0
bersipongang,-3.0
bersisalak,-4.0
bersitegang,0.0
bersiteguh,-1.5
bersokom,-4.0
berstatus,4.0
bersuka-suka,-3.0
bersuka-sukaan,-3.0
bersulur,3.0
bersumber,4.0
bersungguh-sungguh,1.5
bersungkawa,-3.0
bersurai,-3.0
bersusah,-5.0
bersusila,-4.0
bersyukur,5.0
bertabrakan,-4.0
bertaburan,-5.0
bertahan,0.0
bertaki,-3.0
bertakwa,4.0
bertala-tala,-3.0
bertalun-talun,-3.0
bertambah,-5.0
bertambatan,3.0
bertambun,-3.0
bertamu,-4.0
bertandang,-4.0
bertanding,-1.0
bertanduk,0.5
bertangkap,-3.0
bertanya,2.0
bertanya-tanya,0.5
bertapa,-3.0
bertapakkan,-4.0
bertara,-3.0
bertaraf,3.0
bertarak,-3.0
bertaruk,3.0
bertasyakur,-4.0
bertautan,-4.0
bertebaran,-5.0
berteduh,0.5
bertekak,-4.0
bertekan,1.0
bertekun,4.0
bertelanjang,-3.0
bertele-tele,-3.0
bertelimpuh,-3.0
bertelingkah,-4.0
berteman,-3.0
bertemperasan,-3.0
bertempiar,-3.0
bertemu,2.0
bertenaga,5.0
bertendensi,-3.0
bertenggang,3.0
bertengkar,-5.0
bertengkaran,-4.0
bertengking,-4.0
bertentangan,-4.0
bertepatan,3.0
berteraskan,-4.0
berterima,-3.0
bertetesan,-3.0
bertian,-3.0
bertikai,-5.0
bertimbal,-3.0
bertimbang,-3.0
bertimpa-timpa,-3.0
bertindak,-4.0
bertindik,-3.0
bertingkat,-1.5
bertingkuh,-4.0
bertinju,-4.0
bertitikan,-3.0
bertokok,-3.0
bertolak,-2.0
bertonggakkan,-4.0
bertransaksi,3.0
bertransformasi,-3.0
bertuah,-3.0
bertubrukan,-4.0
bertumbangan,-3.0
bertumbuk,-4.0
bertumbukan,-4.0
bertumpuk,0.0
bertunangan,-0.5
bertunas,0.5
bertundangan,3.0
bertunjangkan,-4.0
bertuntun,0.5
berugi,-5.0
berulah,-4.0
berumpun,-3.0
berumur,-2.0
beruntun,-3.0
beruntung,4.0
beruntutan,3.0
berupaya,3.0
berurine,-3.0
berus,-4.0
berusaha,0.0
berusuh,-5.0
berwarna,-3.0
berwibawa,3.0
berwujud,2.0
berziarah,-4.0
berzikir,0.5
berzina,-4.0
besar,1.0
besar-besaran,3.0
besit,-2.0
besot,-3.0
bestari,4.0
beta,-3.0
betapa,4.0
betas,-3.0
bete,-5.0
beterbangan,-0.5
beterjunan,-5.0
betina,-2.0
beton,-2.0
better,0.5
betul,-1.0
betung,-3.0
beud,-2.0
bhay,-3.0
biadab,-1.0
biak,-3.0
bianglala,4.0
biar,-1.0
biarawati,-3.0
biarin,-3.0
biarkan,-1.0
biarpun,-3.0
bias,-2.0
biasa,-1.0
biasin,-3.0
bicu,-3.0
bidah,-3.0
bidai,-4.0
bidas,-5.0
bidasan,3.0
bidik,-2.0
biduanda,5.0
bijak,-0.5
bijaksana,-1.5
bijih,0.0
bikinan,3.0
biksah,-5.0
bilas,1.0
bilhak,3.0
bilik,-3.0
bimbang,-5.0
bimbing,0.0
bimbingan,-3.0
binasa,-1.0
bincang,2.0
bineka,3.0
binen,3.0
bingit,-5.0
bingkis,4.0
bingkisan,4.0
bir,-5.0
birah,-3.0
